Nodo,X,Y,Variable,Escenario,Valor,Gi_estrella,Perm_Q025,Perm_Q975,p_Monte_Carlo_informativo,Clase_Gi
38,587197.782,517560,Calcio_savia,Original,2000,2.793139219778957,-2.0715820240880425,1.7799194866121775,0.002,Hotspot
39,587196.259,517559,Calcio_savia,Original,2300,2.793139219778957,-2.032953021761059,2.0332244199038723,0.004,Hotspot
40,587194.193,517557,Calcio_savia,Original,1800,3.046444153070652,-1.7606502184724873,1.7799194866121775,0.002,Hotspot
41,587192.224,517555,Calcio_savia,Original,1500,1.273309620028788,-1.8619721917891654,1.906571953258025,0.216,Sin_clasificar
42,587190.146,517554,Calcio_savia,Original,1500,1.3999620866746354,-1.8632387164556237,1.8495783432673951,0.198,Sin_clasificar
43,587191.692,517552,Calcio_savia,Original,1900,1.1466571533829404,-1.95759480410678,1.8495783432673951,0.252,Sin_clasificar
44,587193.77,517553,Calcio_savia,Original,1700,1.3999620866746354,-1.9689935261049063,1.906571953258025,0.198,Sin_clasificar
45,587195.739,517555,Calcio_savia,Original,1900,1.5266145533204827,-1.7999124831327,1.906571953258025,0.132,Sin_clasificar
46,587197.805,517557,Calcio_savia,Original,1700,2.9197916864248046,-1.9322643107776103,2.0332244199038723,0.002,Hotspot
47,587199.328,517558,Calcio_savia,Original,1800,2.2865293531955673,-1.9126331784475044,1.8495783432673951,0.014,Hotspot
48,587201.661,517560,Calcio_savia,Original,1400,1.3999620866746354,-2.0291534477616837,1.7799194866121775,0.108,Sin_clasificar
49,587203.586,517562,Calcio_savia,Original,1400,0.006784953570313584,-1.9886246584350127,1.7799194866121775,0.928,Sin_clasificar
50,587205.651,517563,Calcio_savia,Original,1300,0.133437420216161,-1.9183325394465673,1.7799194866121775,0.854,Sin_clasificar
51,587207.621,517565,Calcio_savia,Original,1500,-0.11986751307553384,-1.7733154651370722,1.906571953258025,0.834,Sin_clasificar
52,587209.552,517567,Calcio_savia,Original,1300,-0.8797823129506184,-1.8550063061236437,1.7799194866121775,0.424,Sin_clasificar
53,587211.663,517569,Calcio_savia,Original,1200,-2.095645992750754,-1.823976451795411,1.906571953258025,0.038,Coldspot
54,587213.632,517570,Calcio_savia,Original,940,-2.6529168459924826,-1.735319725143318,1.906571953258025,0.01,Coldspot
55,587215.742,517572,Calcio_savia,Original,860,-3.374835905873813,-1.9221321134459426,2.15987688654972,0.002,Coldspot
56,587217.533,517574,Calcio_savia,Original,1200,-3.0455394925946093,-1.8771704877866666,2.10288327655909,0.006,Coldspot
1,587212.895,517579,Calcio_savia,Residual_ajustado,103.33333333333528,-0.31393242980271846,-1.96833521468927,1.90650455197972,0.724,Sin_clasificar
2,587211.104,517578,Calcio_savia,Residual_ajustado,103.3333333333324,-0.31393242980271846,-1.96833521468927,1.90650455197972,0.724,Sin_clasificar
3,587208.994,517576,Calcio_savia,Residual_ajustado,-34.47916666666492,0.03828708433164393,-1.892678961272693,2.0397511870546925,0.966,Sin_clasificar
4,587207.025,517574,Calcio_savia,Residual_ajustado,84.02083333333354,1.4658483715542867,-2.0588676520745937,2.1428420047179606,0.154,Sin_clasificar
5,587204.915,517572,Calcio_savia,Residual_ajustado,26.020833333333233,0.5261630995279071,-1.7000683914815342,1.8431819385299486,0.636,Sin_clasificar
6,587202.983,517570,Calcio_savia,Residual_ajustado,-83.97916666666654,-1.0637527546342846,-2.1898993766132637,1.8222052735853054,0.254,Sin_clasificar
7,587201.014,517569,Calcio_savia,Residual_ajustado,-223.64583333333377,-1.5104715080313338,-1.9857728966620987,1.9341909336834717,0.142,Sin_clasificar
8,587198.948,517567,Calcio_savia,Residual_ajustado,-145.8333333333341,-1.002341787686504,-1.8760996248255486,1.7781994960352465,0.264,Sin_clasificar
