Nodo,X,Y,Variable,Escenario,Valor,Z,Rezago_Z,Moran_local,Perm_Q025,Perm_Q975,p_Monte_Carlo_informativo,Clase_LISA
50,587205.651,517563,Altura,Residual_ajustado,-4.125694444444445,-1.0764819227724294,-0.542018885656507,0.5834735322104863,-1.119349471324465,0.8967836746793765,0.146,Sin_clasificar
51,587207.621,517565,Altura,Residual_ajustado,-3.543055555555555,-0.9244589749175113,-0.9424697985370338,0.8712746638462596,-0.9861320326057815,0.9202915582247426,0.074,Sin_clasificar
52,587209.552,517567,Altura,Residual_ajustado,-3.4851388888888906,-0.9093472778363435,0.1741016083985696,-0.15831882366416836,-1.1526848118642472,0.9562621241197776,0.524,Sin_clasificar
53,587211.663,517569,Altura,Residual_ajustado,4.573611111111118,1.1933529613498115,0.05373349843429972,0.06412302948025703,-0.9980223730484183,0.900553997462536,0.742,Sin_clasificar
54,587213.632,517570,Altura,Residual_ajustado,-0.874027777777772,-0.2280525413232404,0.39719845529531306,-0.09058211713976164,-0.8731276056512289,0.8794287752696657,0.684,Sin_clasificar
55,587215.742,517572,Altura,Residual_ajustado,-3.6673611111111093,-0.9568929530653421,0.7768481352631507,-0.7433605062352605,-1.0573519662528539,1.0562725569344813,0.126,Sin_clasificar
56,587217.533,517574,Altura,Residual_ajustado,6.059305555555555,1.5810024186094183,0.42112530900716116,0.6658001320779604,-0.8981123221579936,1.0438798907112692,0.126,Sin_clasificar
1,587212.895,517579,Calcio_savia,Original,1200,-0.7606684445141066,-1.3810856009231798,1.0505482357950655,-1.062546093932069,0.9494395917848939,0.05,Bajo-Bajo
2,587211.104,517578,Calcio_savia,Original,1000,-1.306090120478127,-1.2447301819321746,1.6257297932825547,-1.1645654531420728,0.7771537240999532,0.014,Bajo-Bajo
3,587208.994,517576,Calcio_savia,Original,940,-1.469716623267333,-1.0674681372438681,1.5688756661155279,-1.0083889188497048,0.9515166731885196,0.004,Bajo-Bajo
4,587207.025,517574,Calcio_savia,Original,1400,-0.21524676855008634,-0.39250881323839293,0.08448625367699343,-0.9196195859593792,0.9188946090399792,0.688,Sin_clasificar
5,587204.915,517572,Calcio_savia,Original,1600,0.330174907413934,0.05746406943192384,0.018973193804313327,-1.0545618142654452,0.9290336614542891,0.848,Sin_clasificar
6,587202.983,517570,Calcio_savia,Original,1500,0.05746406943192384,-0.2834244780455889,-0.016286723885118495,-1.059163532336778,0.905060901596966,0.92,Sin_clasificar
7,587201.014,517569,Calcio_savia,Original,1200,-0.7606684445141066,-0.21524676855008631,0.1637314246196821,-1.0446262866114313,0.8904894583996615,0.508,Sin_clasificar
8,587198.948,517567,Calcio_savia,Original,1400,-0.21524676855008634,-0.3516021875410914,0.07568123468336135,-1.0505816269466042,1.0361082702569426,0.748,Sin_clasificar
9,587197.023,517566,Calcio_savia,Original,1600,0.330174907413934,-0.14706905905458378,-0.048558512956801594,-0.9679807875661834,1.1211988848045298,0.82,Sin_clasificar
10,587194.69,517564,Calcio_savia,Original,1700,0.6028857453959442,0.5347080359004417,0.3223678527930391,-1.0302962178035826,0.8411574470063794,0.332,Sin_clasificar
11,587193.167,517562,Calcio_savia,Original,2000,1.4210182593419747,1.1483074213599644,1.6317658130904082,-0.988825972803597,1.0086125067592933,0.008,Alto-Alto
