DX_m,DY_m,N_celdas,Correlacion,RMSE
-4,4.25,134673,0.7429448896124563,0.2155154303639527
-4,4.5,134302,0.7392851834236319,0.21687449209295384
-4,4.75,133931,0.7350902804162907,0.21843956987300273
-4,5,133560,0.7304377067583108,0.2201778014353901
-3.75,-5,133920,0.7003340335291667,0.2322018099199687
-3.75,-4.75,134292,0.700724689279649,0.23213388788410566
-3.75,-4.5,134664,0.7008487839207065,0.23217246858383597
-3.75,-4.25,135036,0.7004482651453307,0.2324186819991322
-3.75,-4,135408,0.6997549553827088,0.23278097454915792
-3.75,-3.75,135780,0.69892244438746,0.23320028122960584
-3.75,-3.5,136152,0.6982651923263944,0.2335598429934647
-3.75,-3.25,136152,0.6976116790591103,0.2338104496899047
-3.75,-3,136524,0.69771917459989,0.23388452988638683
-3.75,-2.75,136896,0.6983147051097137,0.23377362184690112
-3.75,-2.5,137268,0.6996145574240649,0.2334000706500278
-3.75,-2.25,137640,0.7017495143447653,0.23270958900282895
-3.75,-2,138012,0.7047077739135094,0.2317041961788342
-3.75,-1.75,138384,0.7081741016026807,0.2304997272611176
-3.75,-1.5,138756,0.7116183758276784,0.22929827268544434
-3.75,-1.25,139128,0.7147740049022876,0.2282044531646392
-3.75,-1,139500,0.7175829239526158,0.22723978071229414
-3.75,-0.75,139872,0.7201806260764626,0.22635421076065113
-3.75,-0.5,140244,0.7223862603150085,0.2256224479574857
-3.75,-0.25,140616,0.7243748135406072,0.22497460426471097
-3.75,0,140988,0.7264410908999404,0.2242971517695043
-3.75,0.25,140616,0.7289204259390971,0.22316492009650243
-3.75,0.5,140244,0.7318697488186543,0.22184452343672054
-3.75,0.75,139872,0.7353927355281314,0.22029292919445256
-3.75,1,139500,0.7394200654551106,0.2185319084050138
-3.75,1.25,139128,0.7430151396732533,0.21694064295914664
-3.75,1.5,138756,0.745838929982441,0.2156586994079142
-3.75,1.75,138384,0.7481662262737259,0.2145759826297499
-3.75,2,138012,0.7501743230109575,0.21362194042644025
-3.75,2.25,137640,0.7520792567646001,0.21270783804584614
-3.75,2.5,137268,0.7537417433014674,0.2118925833430276
-3.75,2.75,136896,0.7548983932039014,0.2112900161157741
-3.75,3,136524,0.7554833318581221,0.21092936024066916
-3.75,3.25,136152,0.7555074109445264,0.21080625804314915
-3.75,3.5,136152,0.755687385691381,0.21071044292835917
-3.75,3.75,135780,0.7548144153380707,0.21096322289803154
-3.75,4,135408,0.7529135296252271,0.21163640734773417
-3.75,4.25,135036,0.7492569185087681,0.2130269936744301
-3.75,4.5,134664,0.7441779020498419,0.21498653393407016
-3.75,4.75,134292,0.7386605998678936,0.2171037977878194
-3.75,5,133920,0.7334317653304236,0.2190868737099053
-3.5,-5,134280,0.7068893934549257,0.22980873239605265
-3.5,-4.75,134653,0.7075614806808802,0.22962938027848606
-3.5,-4.5,135026,0.7081191139344404,0.22949902201048977
-3.5,-4.25,135399,0.7083879617211443,0.22948788669216028
-3.5,-4,135772,0.7081560800991573,0.2296741019399383
-3.5,-3.75,136145,0.70746441970105,0.2300412421176148
-3.5,-3.5,136518,0.7066844598521275,0.23044870147224444
-3.5,-3.25,136518,0.7058406204558146,0.23077713264635324
-3.5,-3,136891,0.7059654015063551,0.2308411610574504
-3.5,-2.75,137264,0.7066074354888443,0.23070639185534958
-3.5,-2.5,137637,0.7076715749124679,0.23041356344474145
-3.5,-2.25,138010,0.7092945386444236,0.22990652167341072
-3.5,-2,138383,0.7114074582561108,0.22921117317587564
-3.5,-1.75,138756,0.7137969079477434,0.22840777728506675
-3.5,-1.5,139129,0.7164038291451063,0.22751816717592632
-3.5,-1.25,139502,0.7189887327302302,0.22663572708224358
-3.5,-1,139875,0.7214005202147238,0.22581710293973098
-3.5,-0.75,140248,0.7240314927392505,0.22490876762495499
-3.5,-0.5,140621,0.7267186337160854,0.22397622134555117
-3.5,-0.25,140994,0.7291994729210182,0.22312200975759997
-3.5,0,141367,0.7313110017275231,0.2224161272040262
-3.5,0.25,140994,0.7335798784702169,0.22136343891176072
-3.5,0.5,140621,0.7361918296865745,0.22017291618032453
-3.5,0.75,140248,0.7390748984830977,0.21887378501600474
-3.5,1,139875,0.7425495076409514,0.217330725051374
-3.5,1.25,139502,0.7464381267738346,0.21561182344027074
-3.5,1.5,139129,0.7499787943360164,0.21402703155517375
-3.5,1.75,138756,0.7528113662864006,0.21272837554687354
-3.5,2,138383,0.7551072259813914,0.2116489556359238
-3.5,2.25,138010,0.7572685496433255,0.21062215515723184
-3.5,2.5,137637,0.7591995429103684,0.2096893586139043
